Ligands,Receptors,source_combined
AT1G34245,AT2G26330,"STRING,BIOGRID,literature"
AT1G34245,AT5G07180,"STRING,literature"
AT1G34245,AT5G60880,STRING
AT1G34245,AT5G62230,"STRING,BIOGRID,literature"
AT1G34510,AT2G20520,STRING
AT1G35140,AT2G35980,STRING
AT1G36045,AT1G72180,literature
AT1G36045,AT5G49660,literature
AT1G47710,AT1G24140,STRING
AT1G47710,AT1G32090,STRING
AT1G47710,AT1G54280,STRING
AT1G47710,AT1G55350,STRING
AT1G47710,AT1G59970,STRING
AT1G47710,AT1G64060,STRING
AT1G47710,AT1G70170,STRING
AT1G47710,AT2G45040,STRING
AT1G47710,AT3G09840,STRING
AT1G47710,AT3G13900,STRING
AT1G47710,AT3G25610,STRING
AT1G47710,AT4G04340,STRING
AT1G47710,AT4G16640,STRING
AT1G48020,AT3G11820,STRING
AT1G48930,AT5G49270,STRING
AT1G49005,AT1G65380,literature
AT1G49005,AT2G23950,literature
AT1G49005,AT3G49670,literature
AT1G49005,AT5G13290,literature
AT1G49005,AT5G65700,literature
AT1G49800,AT1G72180,literature
AT1G49800,AT5G49660,literature
AT1G53830,AT3G54920,STRING
AT1G53940,AT3G01390,plant.MAP
AT1G53940,AT3G54950,STRING
AT1G53940,AT5G06970,plant.MAP
AT1G54010,AT2G01950,"IntAct,BIOGRID"
AT1G54010,AT2G40270,IntAct
AT1G54030,AT5G61130,plant.MAP
AT1G54445,AT1G54280,STRING
AT1G54445,AT4G05110,STRING
AT1G54445,AT4G05120,STRING
AT1G54445,AT4G05130,STRING
AT1G54445,AT4G05140,STRING
AT1G54445,AT5G04930,STRING
AT1G54970,AT2G20520,STRING
AT1G54970,AT4G19680,STRING
AT1G54970,AT5G49270,STRING
AT1G56670,AT5G64080,STRING
AT1G58250,AT2G26420,STRING
AT1G59835,AT1G72180,literature
AT1G59835,AT5G49660,literature
AT1G60625,AT5G10530,STRING
AT1G61563,AT2G22470,STRING
AT1G61566,AT1G23140,STRING
AT1G62340,AT3G59420,STRING
AT1G62440,AT4G34580,STRING
AT1G62980,AT4G34580,STRING
AT1G62980,AT5G49270,STRING
AT1G63245,AT1G65380,literature
AT1G63245,AT2G23950,literature
AT1G63245,AT5G13290,literature
AT1G63535,AT5G10530,STRING
AT1G64390,AT5G65600,STRING
AT1G66145,AT1G65380,"STRING,literature"
AT1G66145,AT2G23950,literature
AT1G66145,AT3G49670,literature
AT1G66145,AT5G13290,"STRING,literature"
AT1G66145,AT5G65700,literature
AT1G67775,AT1G65380,literature
AT1G67775,AT2G23950,literature
AT1G67775,AT5G13290,literature
AT1G68560,AT1G32090,STRING
AT1G68560,AT1G54280,STRING
AT1G68560,AT1G64060,STRING
AT1G68560,AT3G13900,STRING
AT1G68560,AT3G25610,STRING
AT1G68560,AT4G04340,STRING
AT1G68765,AT1G71830,STRING
AT1G68765,AT2G31880,STRING
AT1G68765,AT4G28490,"STRING,literature"
AT1G68795,AT1G75820,STRING
AT1G68850,AT2G48130,STRING
AT1G68850,AT3G22600,STRING
AT1G68850,AT4G14815,STRING
AT1G69320,AT1G65380,"STRING,literature"
AT1G69320,AT2G23950,literature
AT1G69320,AT5G13290,"STRING,literature"
AT1G69588,AT1G31880,STRING
AT1G69588,AT1G65380,literature
AT1G69588,AT2G23950,literature
AT1G69588,AT2G25790,"STRING,literature"
AT1G69588,AT3G09070,STRING
AT1G69588,AT4G20270,"STRING,literature"
AT1G69588,AT5G13290,literature
AT1G69588,AT5G56040,"STRING,literature"
AT1G69940,AT3G54920,STRING
AT1G69970,AT1G21240,"IntAct,BIOGRID"
AT1G69970,AT1G31880,STRING
AT1G69970,AT1G65380,"STRING,literature"
AT1G69970,AT1G75820,STRING
AT1G69970,AT2G23950,literature
AT1G69970,AT3G09070,STRING
AT1G69970,AT3G49670,literature
AT1G69970,AT4G20270,STRING
AT1G69970,AT5G06320,"IntAct,BIOGRID"
AT1G69970,AT5G13290,"STRING,literature"
AT1G69970,AT5G65700,literature
AT1G70895,AT1G65380,literature
AT1G70895,AT5G13290,literature
AT1G71695,AT1G49730,STRING
AT1G72610,AT3G01500,STRING
AT1G72990,AT1G24140,STRING
AT1G72990,AT1G55350,STRING
AT1G72990,AT1G59970,STRING
AT1G72990,AT1G70170,STRING
AT1G72990,AT2G45040,STRING
AT1G72990,AT3G09840,STRING
AT1G72990,AT4G16640,STRING
AT1G73165,AT1G65380,STRING
AT1G73165,AT1G75820,STRING
AT1G73165,AT5G13290,STRING
AT1G73370,AT1G06490,STRING
AT1G73965,AT1G65380,literature
AT1G73965,AT1G75820,STRING
AT1G73965,AT2G23950,literature
AT1G73965,AT5G13290,literature
AT1G74210,AT1G32050,STRING
AT1G74820,AT1G51340,STRING
AT1G74820,AT2G39060,STRING
AT1G75040,AT1G21250,STRING
AT1G75040,AT2G32680,STRING
AT1G75450,AT1G73590,STRING
AT1G75680,AT1G55260,STRING
AT1G75880,AT3G20410,STRING
AT1G75880,AT4G35580,IntAct
AT1G75880,AT5G13750,STRING
AT1G76850,AT3G09900,STRING
AT1G76850,AT3G46060,STRING
AT1G76850,AT3G53610,STRING
AT1G76850,AT5G03520,STRING
AT1G78580,AT3G54840,interactome2.0
AT1G78660,AT1G14040,STRING
AT1G78660,AT1G24140,STRING
AT1G78660,AT1G59970,STRING
AT1G78660,AT1G70170,STRING
AT1G78660,AT2G45040,STRING
AT1G78660,AT3G09840,STRING
AT1G78660,AT4G16640,STRING
AT1G78660,AT5G43350,STRING
AT1G78670,AT1G14040,STRING
AT1G78670,AT1G24140,STRING
AT1G78670,AT1G59970,STRING
AT1G78670,AT1G70170,STRING
AT1G78670,AT2G45040,STRING
AT1G78670,AT3G09840,STRING
AT1G78670,AT3G26090,BIOGRID
AT1G78670,AT4G16640,STRING
AT1G78670,AT5G43350,STRING
AT1G78680,AT1G14040,STRING
AT1G78680,AT1G24140,STRING
AT1G78680,AT1G59970,STRING
AT1G78680,AT1G70170,STRING
AT1G78680,AT2G45040,STRING
AT1G78680,AT3G09840,STRING
AT1G78680,AT4G16640,STRING
AT1G78680,AT5G43350,STRING
AT1G78860,AT4G30360,"IntAct,BIOGRID"
AT1G80170,AT3G13520,STRING
